developer,city,country
0verflow,Tokyo,Japan
11 bit studios,Warsaw,Poland
1C Company,Moscow,Russia
1-Up Studio,Tokyo,Japan
2K Czech,Brno,Czech Republic
2K,Novato,United States
343 Industries,Redmond,United States
38 Studios,Providence,United States
3D Realms,Garland,United States
42 Entertainment,Pasadena,United States
4A Games,Kyiv Sliema,Ukraine Malta
5th Cell,Bellevue,United States
87KGames,Warrington,United Kingdom
989 Studios,Foster City,United States
Acclaim Entertainment,Glen Cove,United States
Acclaim Studios Austin,Santa Clara,United States
Accolade,San Jose,United States
Access Games,Osaka,Japan
Access Software,Salt Lake City,United States
ACE Team,Santiago de Chile,Chile
Aces Game Studio,Redmond,United States
Acquire,"Chiyoda, Tokyo",Japan
Action Forms,Kyiv,Ukraine
Active Gaming Media,Osaka,Japan
Activision,Santa Monica,United States
Adventure Soft,Birmingham,United Kingdom
Akella,Moscow,Russia
Alfa System,Kumamoto City,Japan
AlphaDream,Tokyo,Japan
Amazon Game Studios,Seattle,United States
Animation Magic,Gaithersburg,United States
"Amazon Game Studios, Orange County (formerly Double Helix Games)",Irvine,United States
Ambrella,Tokyo,Japan
Ancient,Hino,Japan
Anino,Manila,Philippines
Ankama Games,Roubaix,France
Appy Entertainment,Carlsbad,United States
AQ Interactive,Tokyo,Japan
Aquria,Yokohama,Japan
Arc System Works,Yokohama,Japan
Arcane Kids,Los Angeles,United States
Arcen Games,Durham,United States
Arkane Studios,Lyon,France
Arkedo Studio,Paris,France
ArenaNet,Bellevue,United States
Arika,Tokyo,Japan
Arrowhead Game Studios,Skellefteå,Sweden
Arkadium,New York,United States
Artech Digital Entertainment,Ottawa,Canada
Artdink,Tsukishima,Japan
ArtePiazza,Tokyo,Japan
Artificial Studios,Gainesville,United States
Artoon,Yokohama,Japan
Arzest,Yokohama,Japan
Ascaron,Gütersloh,Germany
Asobo Studio,Bordeaux,France
Aspyr,Austin,United States
Atelier 801,Lille,France
Atari Interactive (formerly Hasbro Interactive),Pawtucket,United States
Atlus,Tokyo,Japan
Attic Entertainment Software,Albstadt,Germany
Audiogenic,Essex,United Kingdom
Avalanche Studios Group,Stockholm,Sweden
Aventurine SA,Athens,Greece
Backflip Studios,Boulder,United States
Bandai Namco Entertainment Bandai Namco Studios,"Minato, Tokyo",Japan
Bandai Namco Forge Digitals,Tokyo,Japan
Bauhaus Entertainment,Tokyo,Japan
Beamdog,Edmonton,Canada
Beenox,Quebec City,Canada
Behaviour Interactive,Montreal,Canada
Behaviour Santiago,Santiago de Chile,Chile
Bethesda Game Studios,Rockville,United States
Big Blue Bubble,London,Canada
Big Finish Games,Salt Lake City,United States
Big Huge Games,Baltimore,United States
BioWare,Edmonton,Canada
The Bitmap Brothers,London,United Kingdom
Best Way,Luhansk,Ukraine
Bits Studios,London,United Kingdom
Bizarre Creations,Liverpool,United Kingdom
Black Forest Games,Offenburg,Germany
Black Isle Studios,Orange County,United States
Black Rock Studio,Brighton,United Kingdom
Blitz Games Studios,Leamington Spa,United Kingdom
Blizzard Entertainment,Irvine,United States
Bloober Team,Kraków,Poland
Bluepoint Games,Austin,United States
Blueside,Seoul,South Korea
Blue Fang Games,Waltham,United States
Blue Tongue Entertainment,Melbourne,Australia
Bluehole Studio,Seongnam,South Korea
Bohemia Interactive,Prague,Czech Republic
Boss Fight Entertainment,McKinney,United States
Boss Key Productions,Raleigh,United States
BreakAway Games,Hunt Valley,United States
Broderbund,Eugene,United States
Budcat Creations,Iowa City,United States
Bugbear Entertainment,Helsinki,Finland
Bullfrog Productions,Guildford,United Kingdom
Bungie,Bellevue,United States
Camelot Software Planning,Tokyo,Japan
Capcom,Osaka,Japan
Capcom Vancouver,Burnaby,Canada
Carbine Studios,Aliso Viejo,United States
Cattle Call,Tokyo,Japan
Cauldron,Bratislava,Slovakia
Cave,"Shinjuku, Tokyo",Japan
Cavia,Tokyo,Japan
CCP Games,Reykjavík,Iceland
CD Projekt Red,Warsaw,Poland
Certain Affinity,Austin,United States
Chair Entertainment,Salt Lake City,United States
