publisher,city,country
07th Expansion,,Japan
11 bit studios,Warsaw,Poland
1C Company,Moscow,Russia
20th Century Games,"Century City, California",United States
2K Games,"Novato, California",United States
3D Realms,"Garland, Texas",United States
The 3DO Company,"Redwood City, California",United States
505 Games,Milan,Italy
7th Level,"Dallas, Texas",United States
A&F Software,Rochdale,United Kingdom
Aackosoft,Zoeterwoude,Netherlands
Aardvark Software,,United Kingdom
ABC Software,"Buchs, St. Gallen",Switzerland
Absolute Entertainment,"Upper Saddle River, New Jersey",United States
Access Software,"Salt Lake City, Utah",United States
Acclaim Entertainment,"Glen Cove, New York",United States
Accolade,California,United States
Acornsoft,"Cambridge, England",United Kingdom
Acquire,Tokyo,Japan
Active Gaming Media AGM,Osaka,Japan
Activision,"Santa Monica, California",United States
Activision Blizzard,"Santa Monica, California",United States
Addictive Games,"Milton Keynes, England",United Kingdom
The Adventure Company,"Toronto, Ontario",Canada
Adventure International,"Longwood, Florida",United States
Adventure Soft,"Birmingham, England",United Kingdom
Agatsuma Entertainment,Tokyo,Japan
Âge,Tokyo,Japan
AGEod,Grenoble,France
Agetec,"Sunnyvale, California",United States
Akabeisoft2,,Japan
Akella,Moscow,Russia
Akupara Games,"Los Angeles, California",United States
Aksys,"Torrance, California",United States
ALcot,,Japan
Alawar,Novosibirsk,Russia
AliceSoft,,Japan
AlphaDream,Tokyo,Japan
ADK,"Ageo, Saitama",Japan
Alchemist,Tokyo,Japan
All in! Games,Kraków,Poland
Alligata,Sheffield,United Kingdom
Alten8,"Luton, England",United Kingdom
Alternative Software,Castleford,United Kingdom
Amazon Games,"Seattle, Washington",United States
American Game Cartridges,"Chandler, Arizona",United States
American Laser Games,"Albuquerque, New Mexico",United States
American Video Entertainment,"San Jose, California",United States
Amplitude Studios,Paris,France
Amsoft,"Brentwood, Essex",United Kingdom
ANALOG Software,"Worcester, Massachusetts",United States
Antic Software,"Marion, Ohio",United States
APF Electronics Inc.,New York City,United States
Apogee Software,,United States
Apple Inc.,"Cupertino, California",United States
Aquaplus,Osaka,Japan
AQ Interactive,Tokyo,Japan
Arcadia Systems,"Costa Mesa, California",United States
Arcen Games,"Durham, North Carolina",United States
Arc System Works,Tokyo,Japan
Argus Press,,United Kingdom
Arika,Tokyo,Japan
Ariolasoft,,Germany
Armor Games,,United States
Arsys Software,Tokyo,Japan
Artdink,Tokyo,Japan
Artic Computing,Brandesburton,United Kingdom
Arush Entertainment,"Scottsdale, Arizona",United States
Arxel Tribe,,Slovenia
Ascaron,Gütersloh,Germany
ASC Games,"Darien, Connecticut",United States
Asmik Corporation of America,,Japan
Asmodee,"Quartier Villaroy, Guyancourt",France
Aspyr Media,"Austin, Texas",United States
Astragon,Düsseldorf,Germany
Astra Logical,"Torrance, California",United States
Asymmetric Publications,Arizona,United States
"Atari, Inc","Sunnyvale, California",United States
Atari Corp.,"Sunnyvale, California",United States
Atari Games,"Milpitas, California",United States
"Atari, SA",Paris,France
AtariAge,,United States
Athena,,Japan
Atlantis Software,"London, England",United Kingdom
Artech Digital Entertainment,"Ottawa, Ontario",Canada
ASCII Corporation,Tokyo,Japan
Atlus,"Shinjuku, Tokyo",Japan
Attic Entertainment Software,Albstadt,Germany
Audiogenic Limited,"Reading, Berkshire",United Kingdom
Auran Development,"Helensvale, Queensland",Australia
Autumn Games,New York City,United States
Avalon Hill,"Renton, Washington",United States
Aventuras AD,,Spain
Aventurine SA,Athens,Greece
BAM! Entertainment,"San Jose, California",United States
Bandai Games,"Shinagawa, Tokyo",Japan
Bandai Namco Entertainment,"Shinagawa, Tokyo",Japan
Banpresto,"Shinagawa, Tokyo",Japan
BBC Multimedia,"London, England",United Kingdom
Beagle Bros,"San Diego, California",United States
Bergsala Lightweight,Tokyo,Japan
Berkeley Systems,"Berkeley, California",United States
Bethesda Softworks,"Rockville, Maryland",United States
Big Ant Studios,"Melbourne, Victoria",Australia
Big Fish Games,"Seattle, Washington",United States
Big Five Software,"Van Nuys, California",United States
Bilibili,Shanghai,China
Blue Byte,Düsseldorf,Germany
Broderbund,,United States
Black Legend,Welwyn,United Kingdom
Blizzard Entertainment,"Irvine, California",United States
Blue Ribbon,Doncaster,United Kingdom
Blumhouse Games,"Los Angeles, California",United States
Bohemia Interactive,Prague,Czech Republic
"Box Office, Inc.","Saint Paul, Minnesota",United States
Brash Entertainment,"Hollywood, California",United States
Broccoli,Tokyo,Japan
Bug-Byte,Liverpool,United Kingdom
Bubble Bus Software,"Tonbridge, Kent",United Kingdom
BudgeCo,California,United States
Buka Entertainment,Moscow,Russia
BulkyPix,Vélizy-Villacoublay,France
Bullet-Proof Software,,Japan
Bungie,Bellevue,Washington
C&E,Taipei,Taiwan
California Dreams,California,United States
California Pacific Computer Company,"Davis, California",United States
Camerica,Chicago,Illinois
Canal+ Multimedia,,France
Candy Soft,,Japan
Capcom,Osaka,Japan
Capstone Software,"Miami, Florida",United States
Casady & Greene,,United States
Cases Computer Simulations,"London, England",United Kingdom
Cave,Tokyo,Japan
Cavedog Entertainment,"Bothell, Washington",United States
CBS Electronics,,United States
CD Projekt Red,Warsaw,Poland
CDS Software,Doncaster,United Kingdom
CDV Software Entertainment AG,Bruchsal,Germany
Centuri,"Hialeah, Florida",United States
ChessBase,Hamburg,Germany
Chucklefish,"London, England",United Kingdom
Cinemax,Prague,Czech Republic
CI Games,Warsaw,Poland
Cinematronics,"El Cajon, California",United States
Cinemaware,"Burlingame, California",United States
Club Kidsoft,"Los Gatos, California",United States
The Coca-Cola Company,Atlanta,Georgia
Codemasters,Warwickshire,United Kingdom
Coktel Vision,Paris,France
Coleco,,United States
Color Dreams,,United States
CommaVid,"Aurora, Illinois",United States
Commercial Data Systems,"Emerald Park, Saskatchewan",Canada
Commodore,"West Chester, Pennsylvania",United States
Compile,,Japan
Compile Heart,Tokyo,Japan
CompuServe,"Columbus, Ohio",United States
Computer and Video Games,"Bath, Somerset, England",United Kingdom
Conspiracy Entertainment,"Santa Monica, California",United States
Core Design,"Derby, England",United Kingdom
Cosmi Corporation,"Carson, California",United States
Crave Entertainment,"Newport Beach, California",United States
Creative Computing,,United States
CM Games,Tallinn,Estonia
Creatures,Tokyo,Japan
CRL Group,"London, England",United Kingdom
Cronosoft,,United Kingdom
Culture Brain Excel,Tokyo,Japan
Cryo Interactive,Paris,France
Crystal Computing,Manchester,United Kingdom
Crystal Dynamics,"Redwood City, California",United States
Crytek,Frankfurt,Germany
Crytivo Games,"San Diego, California",United States
Cyberdreams,"Calabasas, California",United States
Cybersoft,North Miami Beach,Florida
D3 Publisher,Tokyo,Japan
Daedalic Entertainment,Hamburg,Germany
DarXabre,,The Netherlands
Datamost,"Chatsworth, California",United States
Datam Polystar,Tokyo,Japan
Datasoft,"Chatsworth, California",United States
Data Age,California,United States
Data Becker,Düsseldorf,Germany
Data East,Tokyo,Japan
Davidson & Associates,"Torrance, California",United States
Davilex Games,Houten,The Netherlands
Davka,"Chicago, Illinois",United States
Daybreak Game Company,California,United States
dB-SOFT,Sapporo,Japan
Deep Silver,Munich,Germany
Delphine Software International,Paris,France
Delta 4,,United Kingdom
Destination Software,"Moorestown, New Jersey",United States
Destineer,Minnesota,United States
Devolver Digital,"Austin, Texas",United States
Digital Fantasia,Blackpool,United Kingdom
Digital Integration,"Camberley, Surrey",United Kingdom
Digital Jesters,"Welwyn Garden City, Hertfordshire, England",United Kingdom
Digital Leisure,"Aurora, Ontario",Canada
Digital Pictures,"San Mateo, California",United States
Dinamic Multimedia,Madrid,Spain
Dinamic Software,,Spain
Dinosaur Polo Club,Wellington,New Zealand
Discis Knowledge Research,"Toronto, Ontario",Canada
Disney Interactive Studios,"Glendale, California",United States
DK'Tronics,Saffron Walden,United Kingdom
Domark,"London, England",United Kingdom
Don't Nod,Paris,France
Double Fine,"San Francisco, California",United States
Dovetail Games,"Chatham, Kent, England",United Kingdom
Dragon Data,Wales,United Kingdom
DreadXP,,United States
DreamCatcher Games,"Toronto, Ontario",Canada
DreamWorks Interactive,"Los Angeles, California",United States
Drecom,"Shinagawa, Tokyo",Japan
DROsoft,Madrid,Spain
Dtp entertainment,Hamburg,Germany
Dynamic Planning,Tokyo,Japan
Dynamix,"Eugene, Oregon",United States
Eastasiasoft,Hong Kong,China
EasyGameStation,,Japan
Ecole Software,Nishinomiya,Japan
Edge Games,"Pasadena, California",United States
Edu-Ware,"Agoura Hills, California",United States
eGames,"Langhorne, Pennsylvania",United States
Eidos Interactive,"London, England",United Kingdom
Electric Dreams Software,"Southampton, England",United Kingdom
Electronic Arts,"Redwood City, California",United States
Electronic Arts Square,,Japan
Electronic Arts Victor,,Japan
Electro Brain,"Salt Lake City, Utah",United States
The Elektrik Keyboard,"Chicago, Illinois",United States
ELF Corporation,Tokyo,Japan
Elite Systems,Lichfield,United Kingdom
Empire Interactive,"London, England",United Kingdom
English Software,Manchester,United Kingdom
Enix,Tokyo,Japan
Enlight Software,,United States
Enterbrain,Tokyo,Japan
Durell Software,Taunton,United Kingdom
Eighting,Tokyo,Japan
Emerald Software,Waterford,Ireland
"Encore, Inc.","Minneapolis, Minnesota",United States
Entertainment Software Publishing,,Japan
En Masse Entertainment,"Seattle, Washington",United States
Eolith,Seoul,South Korea
Eon Digital Entertainment,"London, England",United Kingdom
Epic Games,"Potomac, Maryland",United States
Epoch Co.,Tokyo,Japan
Epyx,"Chappaqua, New York",United States
ERE Informatique,,France
ESA (formerly Softmax),,South Korea
Europress,"Bath, England",United Kingdom
Eushully,Sapporo,Japan
Examu,Tokyo,Japan
Exidy,"Sunnyvale, California",United States
FASA,,United States
Fandom,"San Francisco, California",United States
Fairchild Semiconductor,"Sunnyvale, California",United States
Family Soft,Tokyo,Japan
Fantasy Software,Cheltenham,United Kingdom
Faster Than Light,,United Kingdom
Fathammer,,Finland
Firebird Software,"London, England",United Kingdom
First Star Software,"Chappaqua, New York",United States
Fellow Traveller Games,Melbourne,Australia
Feral Interactive,"London, England",United Kingdom
Fill-in-Cafe,,Japan
Finji,"Grand Rapids, Michigan",United States
Fisher Price,"East Aurora, New York",United States
Fishtank Interactive,Ravensburg,Germany
Flair Software,Newcastle upon Tyne,United Kingdom
Flight-Plan,Gifu,Japan
Flying Edge,"Glen Cove, New York",United States
Focus Entertainment,Paris,France
Focus Multimedia,Rugeley,United Kingdom
FormGen,"Scottsdale, Arizona",United States
The Fourth Dimension,,United Kingdom
Fox Interactive,"Los Angeles, California",United States
Freeverse Software,New York City,United States
French Bread,Tokyo,Japan
Froggo,Sunnyvale,California
FromSoftware,Tokyo,Japan
Front Wing,,Japan
Frontier Developments,,United Kingdoms
FTL Games,"San Diego, California",United States
Fujisankei Communications International,New York City,United States
Fujitsu,Tokyo,Japan
Full On Games,Tokyo,Japan
Funcom,Oslo,Norway
funk,Mainz,Germany
Future Games,Beroun,Czech Republic
Fuuki,Kyoto,Japan
G.rev,,Japan
G5 Entertainment,Stockholm,Sweden
Gaelco,Barcelona,Spain
Game Designers' Workshop,"Normal, Illinois",United States
Gaijin Entertainment,Budapest,Hungary
Gaijinworks,"Redding, California",United States
Gainax,Tokyo,Japan
Gakken,Tokyo,Japan
Game,"Basingstoke, England",United Kingdom
Gamecock,"Austin, Texas",United States
Gameloft,Paris,France
Game Freak,Tokyo,Japan
Games by Apollo,"Richardson, Texas",United States
Games Workshop,Nottingham,United Kingdom
GameHouse,"Seattle, Washington",United States
GameTek,"North Miami Beach, Florida",United States
